SubjID x6 x2 x3 x4 x5 x1 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
20057 1 4 3 3 3 2 143332 1 0.5 0.5 0.2357 0.7643
20058 5 1 0 4 1 2 510412 1 0.5 0.5 0.4696 0.5304
20059 5 5 3 2 1 2 553212 1 0.5 0.5 0 1
20060 1 5 4 4 1 2 154412 1 0.5 0.5 0.3296 0.6704
20061 3 5 3 5 5 2 353552 1 0.5 0.5 0 1
20062 3 1 0 0 0 2 310002 1 0.5 0.5 0.5525 0.4475
20063 1 5 3 1 0 2 153102 1 0.5 0.5 0.4688 0.5312
20064 3 5 3 5 4 2 353542 1 0.5 0.5 0 1
20065 3 0 3 1 0 2 303102 1 0.5 0.5 0.4688 0.5312
20066 3 3 0 3 1 2 330312 1 0.5 0.5 0 1
20067 0 4 3 5 0 2 043502 1 0.5 0.5 0.2314 0.7686
20068 4 4 4 4 3 2 444432 1 0.5 0.5 0 1
20069 4 5 3 5 0 2 453502 1 0.5 0.5 0 1
20070 0 5 4 2 0 2 054202 1 0.5 0.5 0.2742 0.7258
20071 3 0 5 0 3 2 305032 1 0.5 0.5 0.3569 0.6431
20072 5 5 5 5 2 2 555522 1 0.5 0.5 0 1
20073 0 4 5 5 0 2 045502 1 0.5 0.5 0.204 0.796
20074 2 2 5 5 0 2 225502 1 0.5 0.5 0 1
20075 2 4 5 4 0 2 245402 1 0.5 0.5 0 1
20076 5 5 5 5 0 2 555502 3 0.5 0.5 0 1
20077 5 5 5 3 0 2 555302 1 0.5 0.5 0 1
20078 0 0 5 3 2 2 005322 1 0.5 0.5 0.3881 0.6119
20079 0 5 5 5 0 2 055502 2 0.5 0.5 0.204 0.796
20080 5 5 5 5 0 2 555502 3 0.5 0.5 0 1
20081 5 5 0 5 0 2 550502 1 0.5 0.5 0 1
20082 3 5 0 5 0 2 350502 1 0.5 0.5 0 1
20083 4 2 4 3 2 2 424322 1 0.5 0.5 0 1
20084 1 5 2 4 1 2 152412 1 0.5 0.5 0.5514 0.4486
