SubjID Var1 Var2 Var3 Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 initial_gik4 final_gik1 final_gik2 final_gik3 final_gik4
ID209 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID21 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID210 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID211 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID212 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID213 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID214 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID215 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID216 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID217 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID218 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID219 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID22 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID220 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID221 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID222 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID223 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID224 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID225 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID226 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID227 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID228 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID229 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID23 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID230 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID231 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID232 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID233 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID234 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID235 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID236 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID237 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID238 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID239 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID24 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID240 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID241 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID242 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID243 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID244 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID245 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID246 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID247 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID248 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID249 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID25 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID250 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID251 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID252 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID253 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID254 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID255 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID256 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID257 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID258 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID259 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID26 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID260 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID261 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID262 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID263 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID264 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID265 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID266 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID267 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID268 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID269 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID27 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID270 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID271 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID272 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID273 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID274 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID275 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID276 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID277 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID278 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID279 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID28 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID280 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID281 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID282 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID283 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID284 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID285 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID286 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID287 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID288 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID289 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID29 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID290 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID291 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID292 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID293 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID294 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID295 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID296 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID297 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID298 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID299 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID3 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID30 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID300 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID301 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID302 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID303 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID304 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID305 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID306 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID307 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID308 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID309 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID31 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID310 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID311 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID312 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID313 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID314 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID315 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID316 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID317 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID318 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID319 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID32 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID320 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID321 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID322 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID323 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID324 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID325 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID326 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID327 2 2 2 222 30 0.25 0.25 0.25 0.25 0.3333 0 0.1679 0.4988
ID328 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID329 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID33 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID330 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID331 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID332 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID333 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID334 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID335 1 2 3 123 44 0.25 0.25 0.25 0.25 0 0 1 0
ID336 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID337 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID338 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID339 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID34 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID340 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID341 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID342 3 1 1 311 39 0.25 0.25 0.25 0.25 0 1 0 0
ID343 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID344 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID345 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID346 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID347 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID348 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID349 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID35 3 1 3 313 40 0.25 0.25 0.25 0.25 0.1061 0.5606 0.3333 0
ID350 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID351 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID352 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID353 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID354 1 1 3 113 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID355 2 1 2 212 34 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID356 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID357 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID358 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID359 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID36 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID360 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID361 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID362 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID363 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID364 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID365 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID366 1 2 2 122 40 0.25 0.25 0.25 0.25 0.5 0 0.5 0
ID367 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID368 2 2 1 221 26 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID369 3 1 4 314 40 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID37 1 1 2 112 34 0.25 0.25 0.25 0.25 1 0 0 0
ID370 2 1 1 211 52 0.25 0.25 0.25 0.25 0 0.4413 0 0.5587
ID371 3 2 4 324 54 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID372 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID373 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID374 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID375 3 1 2 312 41 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID376 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID377 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID378 3 2 2 322 41 0.25 0.25 0.25 0.25 0.3333 0.6667 0 0
ID379 2 2 1 221 26 0.25 0.25 0.25 0.25 0 0.5672 0 0.4328
ID38 3 2 1 321 41 0.25 0.25 0.25 0.25 0 1 0 0
ID380 3 2 3 323 47 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID381 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID382 2 2 4 224 44 0.25 0.25 0.25 0.25 0 0 0.0025 0.9975
ID383 2 1 4 214 46 0.25 0.25 0.25 0.25 0 0 0 1
ID384 1 2 1 121 50 0.25 0.25 0.25 0.25 0 0.4393 0.5607 0
ID385 2 1 3 213 55 0.25 0.25 0.25 0.25 0 0 0.3333 0.6667
ID386 1 1 4 114 45 0.25 0.25 0.25 0.25 0.5483 0 0 0.4517
ID387 1 2 4 124 26 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
ID388 1 1 1 111 47 0.25 0.25 0.25 0.25 0.5945 0.4055 0 0
ID389 2 2 3 223 44 0.25 0.25 0.25 0.25 0 0 0.6079 0.3921
